year_month,count
2025-12,79
2025-11,92
2025-10,93
2025-09,87
2025-08,112
2025-07,68
2025-06,87
2022-11,16
2025-05,99
2025-04,80
2025-03,101
2025-02,57
2025-01,112
2024-11,72
2024-12,49
2024-10,77
2024-03,69
2024-09,56
2024-08,67
2024-07,61
2023-05,19
2022-10,2
2024-06,88
2024-01,54
2023-02,28
2024-05,94
2022-12,18
2023-01,10
2023-03,24
2023-04,24
2023-06,12
2023-07,25
2023-08,47
2023-11,43
2023-09,34
2022-04,8
2022-05,8
2022-07,8
2022-09,8
2023-10,41
2023-12,31
2024-04,65
2024-02,50
2026-01,106
2026-02,18
